bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
153,110284.788712,0,0,3.127866280e-4,1.000181376e-7,-0.99994129,0.99994129,0.000000,10.89242766
154,110764.779467,0,0,2.327512426e-4,6.896893699e-7,-0.99945606,0.99945606,0.000000,10.89242766
155,111233.517371,1,1,2.448556555e-5,6.432521585e-3,0.92037673,0.92037673,-11.234127,10.89242766
156,111723.271690,0,0,4.803887911e-4,1.640756551e-4,-0.93919381,0.93919381,9.784704,10.89242766
157,112203.257614,0,0,5.520865579e-4,3.027237310e-4,-0.90414503,0.90414503,0.000000,10.89242766
158,112683.243537,0,0,2.059657310e-4,6.807135053e-5,-0.94110298,0.94110298,0.000000,10.89242766
159,113154.505040,1,1,1.072303988e-5,6.813711512e-3,0.96629399,0.96629399,-8.709904,10.89242766
160,113645.180193,0,0,4.340596221e-4,1.925394491e-4,-0.92173992,0.92173992,10.700429,10.89242766
161,114116.665622,1,1,7.583818428e-5,7.521000713e-3,0.80207123,0.80207123,-8.492975,10.89242766
162,114604.502600,0,0,6.040136591e-4,7.153452865e-5,-0.97848815,0.97848815,7.859630,10.89242766
163,115084.493047,0,0,7.318119872e-4,2.664959101e-4,-0.93529851,0.93529851,0.000000,10.89242766
164,115556.714698,1,1,1.012442846e-4,6.717605926e-3,0.71796947,0.71796947,-7.755870,10.89242766
165,116042.218407,0,0,1.119740575e-3,3.114000000e-4,-0.95020824,0.95020824,5.529898,10.89242766
166,116522.201435,0,0,9.661073694e-4,1.847325852e-4,-0.96549630,0.96549630,0.000000,10.89242766
167,117002.184462,0,0,7.880617583e-4,4.312392257e-6,-0.99899574,0.99899574,0.000000,10.89242766
168,117482.167489,0,0,3.110115085e-4,8.161588335e-5,-0.95294947,0.95294947,0.000000,10.89242766
169,117962.150517,1,1,1.553492771e-4,7.900098654e-3,0.64718718,0.64718718,0.000000,10.89242766
170,118442.133544,1,1,7.189923768e-7,1.022107192e-2,0.99846874,0.99846874,0.000000,10.89242766
171,118927.339285,0,0,8.971712283e-4,7.342211795e-4,-0.86023612,0.86023612,5.214024,10.89242766
172,119407.339693,0,0,5.655420104e-4,2.499353653e-4,-0.92201779,0.92201779,0.000000,10.89242766
173,119882.217639,1,1,3.169446709e-5,7.173643798e-3,0.90816984,0.90816984,-5.113938,10.89242766
174,120367.386562,0,0,6.918632864e-4,2.620686542e-4,-0.93278688,0.93278688,5.176934,10.89242766
175,120839.391789,1,1,1.050795710e-4,8.816218945e-3,0.77018458,0.77018458,-7.982087,10.89242766
