candidate,start_sample,start_seconds,preamble_matches,sync_matches,quality,tone_concentration,carrier_1200,carrier_2200,decision_ratio,profile_0,profile_1,profile_2,profile_3,clock_estimated,initial_period,final_period,header_crc_valid,raw_kind,raw_transfer_id,raw_sequence,raw_payload_bytes,decoded_bits,reference_frame,reference_bits,compared_bits,bit_errors,missing_bits,ber,low_confidence,crc_result
0,79680.000000,1.660000000,64,16,0.654358015,0.770240750,2.123427973e-3,6.676058789e-3,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,true,479.988134501,479.978128270,false,81,BFCB0E3E,0,59,160,,,,,,,45,"FAILED invalid preamble"
1,408000.000000,8.500000000,64,16,0.631803410,0.795498855,1.406688775e-3,7.591605754e-3,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,true,480.015996196,480.036772653,false,83,2FC7071E,0,1,160,,,,,,,58,"FAILED invalid preamble"
