candidate,reference_frame,bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
0,0,618,369231.084928,1,1,4.614836204e-5,3.450503539e-3,0.97940554,0.97940554,0.000000,0.77793237
0,0,619,369711.140890,1,1,8.885058550e-5,4.883714507e-3,0.97208881,0.97208881,0.000000,0.77793237
0,0,620,370191.196852,1,1,5.975455301e-5,2.460402387e-3,0.96291417,0.96291417,0.000000,0.77793237
0,0,621,370671.248761,0,0,1.301056115e-3,4.956441390e-5,-0.90663181,0.90663181,-0.004046,0.77793237
0,0,622,371151.304710,0,0,3.642242825e-3,2.226625723e-4,-0.85428229,0.85428229,0.000000,0.77793237
0,0,623,371631.360658,0,0,3.726356446e-3,1.380432210e-4,-0.90908928,0.90908928,0.000000,0.77793237
0,0,624,372111.416607,0,0,1.188459926e-3,3.784427934e-5,-0.92135320,0.92135320,0.000000,0.77793237
0,0,625,372579.128647,1,1,3.059520624e-4,3.311986106e-3,0.86590971,0.86590971,-12.323370,0.77793237
0,0,626,373059.143517,1,1,6.470455262e-5,4.229240011e-3,0.97647628,0.97647628,0.000000,0.77793237
0,0,627,373539.158388,1,1,6.928124395e-5,2.411156337e-3,0.95627183,0.95627183,0.000000,0.77793237
0,0,628,374019.173259,0,0,4.622636456e-4,1.412378184e-4,-0.43600489,0.43600489,0.000000,0.77793237
0,0,629,374499.188129,1,1,3.186778546e-4,1.478417433e-3,0.71278931,0.71278931,0.000000,0.77793237
0,0,630,374979.203000,0,0,1.029473473e-3,3.751585716e-4,-0.36198569,0.36198569,0.000000,0.77793237
0,0,631,375459.217870,0,0,1.170493494e-3,7.088311918e-4,-0.12457335,0.12457335,0.000000,0.77793237
0,0,632,375939.232741,1,1,2.271261134e-4,3.377697057e-3,0.90057987,0.90057987,0.000000,0.77793237
0,0,633,376419.247612,1,1,9.498744080e-5,5.208012484e-3,0.97202002,0.97202002,0.000000,0.77793237
0,0,634,376899.262482,1,1,2.177721083e-5,6.101543878e-3,0.99446229,0.99446229,0.000000,0.77793237
0,0,635,377379.277353,1,1,3.564872198e-5,4.296991944e-3,0.98717500,0.98717500,0.000000,0.77793237
0,0,636,377860.665249,0,0,2.385821908e-3,7.566876694e-5,-0.92165484,0.92165484,1.370740,0.77793237
0,0,637,378340.684688,0,0,1.688598106e-3,3.674863009e-4,-0.56280294,0.56280294,0.000000,0.77793237
0,0,638,378820.704128,1,1,3.082822196e-4,2.479865584e-3,0.82363956,0.82363956,0.000000,0.77793237
0,0,639,379300.723568,1,1,1.719701070e-4,1.866547833e-3,0.86624089,0.86624089,0.000000,0.77793237
0,0,640,379779.034952,0,0,1.941462475e-3,3.402225181e-4,-0.63230099,0.63230099,-1.705214,0.77793237
0,0,641,380259.048707,0,0,2.066799716e-3,6.159592222e-4,-0.44602743,0.44602743,0.000000,0.77793237
0,0,642,380739.062463,1,1,3.905785283e-4,2.649127750e-3,0.79421157,0.79421157,0.000000,0.77793237
0,0,643,381219.076219,1,1,1.566375318e-4,3.299178430e-3,0.92876219,0.92876219,0.000000,0.77793237
0,0,644,381699.089975,1,1,1.869876054e-5,4.563804758e-3,0.99364559,0.99364559,0.000000,0.77793237
0,0,645,382179.103730,1,1,2.297075793e-5,3.363289378e-3,0.98942984,0.98942984,0.000000,0.77793237
0,0,646,382659.482769,0,0,2.035501964e-3,1.937649542e-5,-0.97582259,0.97582259,0.364675,0.77793237
0,0,647,383139.497740,0,0,1.858525874e-3,8.565289101e-4,-0.25594806,0.25594806,0.000000,0.77793237
0,0,648,383619.512711,1,1,8.698897861e-4,1.244767865e-3,0.29563226,0.29563226,0.000000,0.77793237
0,0,649,384099.527683,0,0,1.307469263e-3,1.695175129e-4,-0.71428995,0.71428995,0.000000,0.77793237
0,0,650,384579.542654,0,0,1.791614522e-3,6.791336679e-4,-0.34474658,0.34474658,0.000000,0.77793237
0,0,651,385059.557625,1,1,1.682855220e-4,3.269962026e-3,0.92301117,0.92301117,0.000000,0.77793237
0,0,652,385539.572597,1,1,2.458941355e-4,4.504194809e-3,0.91852213,0.91852213,0.000000,0.77793237
0,0,653,386019.587568,1,1,1.283241138e-4,3.147240591e-3,0.93851223,0.93851223,0.000000,0.77793237
0,0,654,386499.944478,0,0,1.931702952e-3,2.734706375e-5,-0.96425410,0.96425410,0.341370,0.77793237
0,0,655,386979.960587,0,0,2.026623412e-3,2.229358578e-4,-0.75222629,0.75222629,0.000000,0.77793237
0,0,656,387449.463949,1,1,4.437423926e-4,2.629522604e-3,0.76791020,0.76791020,-10.495255,0.77793237
0,0,657,387929.445074,1,1,1.150018484e-4,4.240226987e-3,0.95867434,0.95867434,0.000000,0.77793237
0,0,658,388409.426199,1,1,5.448150824e-5,4.484044577e-3,0.98127312,0.98127312,0.000000,0.77793237
0,0,659,388889.407324,0,0,1.579577433e-3,8.014283572e-4,-0.21050594,0.21050594,0.000000,0.77793237
0,0,660,389369.388449,1,1,4.635150891e-4,2.560664967e-3,0.75313062,0.75313062,0.000000,0.77793237
0,0,661,389846.081581,0,0,1.837708077e-3,2.433197988e-4,-0.70910982,0.70910982,-3.282522,0.77793237
0,0,662,390326.051764,0,0,2.241990289e-3,1.654725196e-4,-0.82669308,0.82669308,0.000000,0.77793237
0,0,663,390795.829370,1,1,4.751681148e-4,1.391537321e-3,0.58022757,0.58022757,-10.175618,0.77793237
