candidate,reference_frame,bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
0,,366,255626.131903,,1,4.752199435e-5,1.786791255e-3,0.84566765,0.84566765,0.000000,3.14400059
0,,367,256096.093604,,0,1.226093224e-3,4.665860285e-4,-0.78405912,0.78405912,-10.061474,3.14400059
0,,368,256576.100009,,0,2.538972785e-3,2.053956075e-5,-0.99486708,0.99486708,0.000000,3.14400059
0,,369,257056.106415,,0,3.189446602e-3,2.040014432e-4,-0.96012335,0.96012335,0.000000,3.14400059
0,,370,257536.112820,,0,4.112354762e-3,2.007247357e-5,-0.99689984,0.99689984,0.000000,3.14400059
0,,371,258016.119225,,0,2.982948444e-3,1.472844184e-4,-0.96907633,0.96907633,0.000000,3.14400059
0,,372,258496.125631,,0,8.133806236e-4,1.674496260e-3,-0.20860629,0.20860629,0.000000,3.14400059
0,,373,258976.132036,,0,4.883084098e-4,5.694734700e-4,-0.45885941,0.45885941,0.000000,3.14400059
0,,374,259456.138441,,0,1.305003538e-3,2.677638137e-4,-0.87747314,0.87747314,0.000000,3.14400059
0,,375,259936.144847,,1,1.296594168e-4,1.167245349e-3,0.48231548,0.48231548,0.000000,3.14400059
0,,376,260416.151252,,1,1.034142071e-4,6.668290962e-4,0.34446307,0.34446307,0.000000,3.14400059
0,,377,260896.157657,,0,1.243168164e-3,3.633061388e-4,-0.82990599,0.82990599,0.000000,3.14400059
0,,378,261376.709703,,1,1.383803341e-4,3.278886928e-3,0.76571182,0.76571182,0.544732,3.14400059
0,,379,261856.717924,,1,3.452302066e-5,1.302427126e-3,0.84614756,0.84614756,0.000000,3.14400059
0,,380,262336.726145,,1,7.121695047e-5,2.651508104e-3,0.84426165,0.84426165,0.000000,3.14400059
0,,381,262811.308251,,0,2.219958266e-3,5.822799542e-4,-0.84599496,0.84599496,-5.417087,3.14400059
0,,382,263291.298415,,1,3.354975427e-4,3.713019015e-3,0.55753208,0.55753208,0.000000,3.14400059
0,,383,263771.288579,,1,1.412411699e-4,1.967091558e-3,0.63165991,0.63165991,0.000000,3.14400059
0,,384,264251.278744,,1,2.323579532e-5,2.504431662e-3,0.94331424,0.94331424,0.000000,3.14400059
0,,385,264724.032062,,0,2.082905450e-3,7.595625133e-4,-0.79213470,0.79213470,-7.224805,3.14400059
0,,386,265203.998143,,0,3.700884599e-3,1.296480028e-4,-0.97796082,0.97796082,0.000000,3.14400059
0,,387,265683.964225,,0,3.215693217e-3,1.645141701e-4,-0.96797670,0.96797670,0.000000,3.14400059
0,,388,266163.930306,,0,9.548259642e-4,2.106238944e-3,-0.17535184,0.17535184,0.000000,3.14400059
0,,389,266643.896388,,1,4.195942893e-4,1.575782798e-3,0.08862840,0.08862840,0.000000,3.14400059
0,,390,267123.862469,,1,1.790887709e-5,1.640958910e-3,0.93365145,0.93365145,0.000000,3.14400059
0,,391,267599.175120,,0,8.669155161e-4,6.181298249e-4,-0.63027337,0.63027337,-4.645688,3.14400059
0,,392,268080.802045,,1,1.193780742e-4,3.914808326e-3,0.82502886,0.82502886,1.673540,3.14400059
0,,393,268560.758219,,1,3.770466830e-5,7.971094707e-4,0.74107330,0.74107330,0.000000,3.14400059
0,,394,269040.714394,,1,3.765505589e-5,1.661886990e-3,0.86700083,0.86700083,0.000000,3.14400059
0,,395,269520.670568,,1,1.445494029e-5,2.226453525e-3,0.95999266,0.95999266,0.000000,3.14400059
0,,396,269994.955369,,0,1.504262327e-3,8.434506005e-4,-0.69730021,0.69730021,-5.661937,3.14400059
0,,397,270474.892670,,0,2.520805927e-3,1.218028910e-4,-0.96972795,0.96972795,0.000000,3.14400059
0,,398,270954.829971,,0,1.209877480e-3,2.036281865e-3,-0.30265960,0.30265960,0.000000,3.14400059
0,,399,271434.767272,,0,8.195625622e-4,1.426705864e-3,-0.28725487,0.28725487,0.000000,3.14400059
0,,400,271914.704573,,0,2.673969723e-3,2.197816416e-4,-0.94904644,0.94904644,0.000000,3.14400059
0,,401,272394.641875,,0,2.187742315e-3,1.829351563e-4,-0.94818580,0.94818580,0.000000,3.14400059
0,,402,272874.579176,,1,5.670550718e-4,1.920060197e-3,0.03706268,0.03706268,0.000000,3.14400059
0,,403,273354.516477,,0,5.699542854e-4,8.753481982e-4,-0.34364100,0.34364100,0.000000,3.14400059
0,,404,273834.453778,,1,2.040470535e-4,2.944095828e-3,0.64216840,0.64216840,0.000000,3.14400059
0,,405,274314.391079,,1,1.029976705e-4,1.242593056e-3,0.58654104,0.58654104,0.000000,3.14400059
0,,406,274794.328381,,1,2.238439829e-4,1.815832301e-3,0.44136673,0.44136673,0.000000,3.14400059
0,,407,275274.265682,,0,1.252043386e-3,3.495169485e-4,-0.83690076,0.83690076,0.000000,3.14400059
0,,408,275754.202983,,1,3.611766660e-4,2.844376850e-3,0.42936509,0.42936509,0.000000,3.14400059
0,,409,276234.140284,,0,1.110539405e-3,1.361731429e-3,-0.43883938,0.43883938,0.000000,3.14400059
0,,410,276714.077585,,0,3.043373520e-3,7.196749072e-4,-0.86009489,0.86009489,0.000000,3.14400059
0,,411,277194.014887,,0,1.808259684e-3,2.532187312e-3,-0.38369786,0.38369786,0.000000,3.14400059
0,,412,277673.952188,,0,1.013016123e-3,9.665737479e-4,-0.53434930,0.53434930,0.000000,3.14400059
0,,413,278153.889489,,1,6.139179451e-4,4.220081636e-3,0.37233071,0.37233071,0.000000,3.14400059
0,,414,278633.826790,,1,1.064498380e-4,2.517736278e-3,0.76533681,0.76533681,0.000000,3.14400059
0,,415,279117.857929,,0,1.564142996e-3,6.459584273e-4,-0.76779224,0.76779224,4.087026,3.14400059
0,,416,279597.808853,,1,4.645190349e-4,4.203836241e-3,0.48433093,0.48433093,0.000000,3.14400059
0,,417,280077.759778,,1,7.850086559e-5,1.349655690e-3,0.69080793,0.69080793,0.000000,3.14400059
0,,418,280551.297145,,0,1.647964186e-3,2.935346669e-4,-0.89276753,0.89276753,-6.402886,3.14400059
0,,419,281031.226726,,0,2.577332742e-3,3.565547222e-4,-0.91570502,0.91570502,0.000000,3.14400059
0,,420,281511.156308,,0,6.578857414e-4,1.946235017e-3,-0.03042826,0.03042826,0.000000,3.14400059
0,,421,281991.085890,,0,1.275002010e-3,7.817890310e-4,-0.67360151,0.67360151,0.000000,3.14400059
0,,422,282471.015471,,1,5.805873562e-4,4.399722654e-3,0.41354516,0.41354516,0.000000,3.14400059
0,,423,282950.945053,,0,9.410363629e-4,1.399561118e-3,-0.35773138,0.35773138,0.000000,3.14400059
0,,424,283430.874635,,1,1.764565890e-4,3.646207392e-3,0.73588130,0.73588130,0.000000,3.14400059
0,,425,283910.804216,,1,2.155164406e-4,1.709942231e-3,0.43239671,0.43239671,0.000000,3.14400059
0,,426,284390.733798,,0,1.534527559e-3,4.090270784e-4,-0.84369136,0.84369136,0.000000,3.14400059
0,,427,284870.663380,,1,7.576452137e-4,3.547827323e-3,0.19659646,0.19659646,0.000000,3.14400059
0,,428,285350.592961,,0,7.391737369e-4,1.239708988e-3,-0.30425184,0.30425184,0.000000,3.14400059
0,,429,285830.522543,,0,2.802246686e-3,2.688334226e-4,-0.94077971,0.94077971,0.000000,3.14400059
0,,430,286310.452125,,0,1.383311116e-3,2.817811258e-3,-0.21366430,0.21366430,0.000000,3.14400059
0,,431,286790.381706,,1,9.114728037e-5,9.435477411e-4,0.53408073,0.53408073,0.000000,3.14400059
0,,432,287270.311288,,1,7.178363951e-7,2.392545836e-3,0.99811519,0.99811519,0.000000,3.14400059
0,,433,287750.240870,,1,5.119251232e-5,3.583790764e-3,0.91403981,0.91403981,0.000000,3.14400059
0,,434,288230.170451,,1,6.284565856e-5,1.978409214e-3,0.81839416,0.81839416,0.000000,3.14400059
0,,435,288697.462427,,0,1.479778478e-3,1.704992483e-4,-0.92929631,0.92929631,-12.616578,3.14400059
0,,436,289177.349954,,1,4.728236825e-4,3.691379584e-3,0.42581079,0.42581079,0.000000,3.14400059
0,,437,289657.237480,,1,9.743249779e-5,1.539875814e-3,0.66815380,0.66815380,0.000000,3.14400059
0,,438,290137.125006,,1,2.998187743e-5,2.028055213e-3,0.91116974,0.91116974,0.000000,3.14400059
0,,439,290612.264075,,0,1.561668379e-3,7.416190954e-4,-0.73754989,0.73754989,-4.740557,3.14400059
0,,440,291092.135799,,0,2.625114047e-3,1.473979414e-4,-0.96490842,0.96490842,0.000000,3.14400059
0,,441,291572.007524,,0,1.319899755e-3,1.712719062e-3,-0.41570199,0.41570199,0.000000,3.14400059
0,,442,292051.879249,,0,5.695508645e-4,8.176692090e-4,-0.37303419,0.37303419,0.000000,3.14400059
0,,443,292531.750973,,1,6.386437195e-4,3.147804597e-3,0.22109669,0.22109669,0.000000,3.14400059
0,,444,293011.622698,,0,8.033086762e-4,1.642096508e-3,-0.21198900,0.21198900,0.000000,3.14400059
0,,445,293491.494422,,0,1.843769291e-3,2.872914504e-4,-0.90555997,0.90555997,0.000000,3.14400059
0,,446,293971.366147,,0,3.188471443e-3,2.042425996e-4,-0.96006518,0.96006518,0.000000,3.14400059
0,,447,294451.237871,,0,3.252804905e-3,2.248643790e-4,-0.95697069,0.95697069,0.000000,3.14400059
0,,448,294931.109596,,0,4.306394886e-3,1.987236943e-5,-0.99706879,0.99706879,0.000000,3.14400059
0,,449,295410.981320,,0,2.980261022e-3,2.201891603e-6,-0.99953012,0.99953012,0.000000,3.14400059
0,,450,295890.853045,,0,3.014935010e-3,4.246251127e-5,-0.99108063,0.99108063,0.000000,3.14400059
0,,451,296370.724769,,0,2.977988474e-3,8.401498826e-6,-0.99820695,0.99820695,0.000000,3.14400059
0,,452,296850.596494,,0,1.692600176e-3,1.224139363e-5,-0.99540986,0.99540986,0.000000,3.14400059
0,,453,297330.468219,,0,5.026742079e-4,1.141951643e-3,-0.16105747,0.16105747,0.000000,3.14400059
0,,454,297810.339943,,1,1.140694980e-4,7.871320545e-4,0.37398322,0.37398322,0.000000,3.14400059
0,,455,298290.211668,,1,1.370456158e-4,1.788986611e-3,0.61180267,0.61180267,0.000000,3.14400059
0,,456,298759.200221,,0,9.882192216e-4,4.986983412e-4,-0.72338029,0.72338029,-10.865063,3.14400059
0,,457,299239.035728,,0,1.965635073e-3,1.417060993e-4,-0.95516810,0.95516810,0.000000,3.14400059
0,,458,299718.871236,,0,7.334619192e-4,1.899564322e-3,-0.09664337,0.09664337,0.000000,3.14400059
0,,459,300198.706744,,1,3.823224601e-6,1.433492747e-3,0.98336892,0.98336892,0.000000,3.14400059
0,,460,300678.542251,,1,2.421998110e-5,1.967564353e-3,0.92548105,0.92548105,0.000000,3.14400059
0,,461,301158.377759,,1,2.001952243e-5,3.031524824e-3,0.95932003,0.95932003,0.000000,3.14400059
0,,462,301637.385803,,0,9.296594857e-4,6.452756942e-4,-0.63831112,0.63831112,-0.826087,3.14400059
