bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
129,85275.503678,0,0,2.087250381e-2,4.341644280e-4,-0.98759847,0.98759847,0.000000,3.33375007
130,85755.441864,0,0,2.158779477e-2,4.662146254e-4,-0.98712728,0.98712728,0.000000,3.33375007
131,86235.380051,0,0,2.128280714e-2,1.354524058e-4,-0.99618911,0.99618911,0.000000,3.33375007
132,86715.318237,0,0,2.292201538e-2,4.391170519e-5,-0.99885138,0.99885138,0.000000,3.33375007
133,87195.256424,0,0,2.097782248e-2,3.000038596e-6,-0.99991421,0.99991421,0.000000,3.33375007
134,87675.194610,0,0,2.109911012e-2,2.913846718e-5,-0.99917183,0.99917183,0.000000,3.33375007
135,88155.132796,0,0,1.941287494e-2,4.314410369e-5,-0.99866759,0.99866759,0.000000,3.33375007
136,88635.070983,0,0,1.789833578e-2,2.524523429e-6,-0.99991539,0.99991539,0.000000,3.33375007
137,89115.009169,0,0,1.781695170e-2,2.955033413e-7,-0.99999005,0.99999005,0.000000,3.33375007
138,89594.947356,0,0,1.796016133e-2,6.733557296e-6,-0.99977510,0.99977510,0.000000,3.33375007
139,90074.885542,0,0,1.715614732e-2,5.336142482e-6,-0.99981342,0.99981342,0.000000,3.33375007
140,90554.823728,0,0,1.715500335e-2,1.375199871e-6,-0.99995191,0.99995191,0.000000,3.33375007
141,91034.761915,0,0,1.662561148e-2,6.344991480e-7,-0.99997710,0.99997710,0.000000,3.33375007
142,91514.700101,0,0,1.718720231e-2,6.207793367e-8,-0.99999783,0.99999783,0.000000,3.33375007
143,91994.638287,0,0,1.717637957e-2,2.512114755e-6,-0.99991226,0.99991226,0.000000,3.33375007
144,92474.576474,0,0,1.731917182e-2,1.771486319e-6,-0.99993864,0.99993864,0.000000,3.33375007
145,92954.514660,0,0,1.683068784e-2,2.161302786e-6,-0.99992296,0.99992296,0.000000,3.33375007
146,93434.452847,0,0,1.728804830e-2,7.764987162e-7,-0.99997305,0.99997305,0.000000,3.33375007
147,93914.391033,0,0,1.832456154e-2,6.360898948e-7,-0.99997918,0.99997918,0.000000,3.33375007
148,94394.329219,0,0,1.667515668e-2,8.756280112e-7,-0.99996850,0.99996850,0.000000,3.33375007
