snr_db,total_packets,valid_packets,total_bits,compared_bits,bit_errors,missing_bits,ber,per,acquisition_failures,crc_failures,protocol_failures,truncated_frames,incorrect_valid_packets
15,100,100,32800,32800,0,0,0.00000000,0.000000,0,0,0,0,0
5,100,100,32800,32800,0,0,0.00000000,0.000000,0,0,0,0,0
0,100,94,32800,31160,1,1640,0.00003209,0.060000,5,1,0,0,0
