snr_db,total_packets,valid_packets,total_bits,compared_bits,bit_errors,missing_bits,ber,per,acquisition_failures,crc_failures,protocol_failures,truncated_frames,incorrect_valid_packets
15,200,200,65600,65600,0,0,0.00000000,0.000000,0,0,0,0,0
5,200,200,65600,65600,0,0,0.00000000,0.000000,0,0,0,0,0
0,200,200,65600,65600,0,0,0.00000000,0.000000,0,0,0,0,0
-5,200,200,65600,65600,0,0,0.00000000,0.000000,0,0,0,0,0
-10,200,144,65600,63248,68,2352,0.00107513,0.280000,0,41,14,1,0
-15,200,0,65600,640,52,64960,0.08125000,1.000000,196,0,4,0,0
-20,200,0,65600,0,0,65600,NA,1.000000,200,0,0,0,0
