snr_db,total_packets,valid_packets,total_bits,compared_bits,bit_errors,missing_bits,ber,per,acquisition_failures,crc_failures,protocol_failures,truncated_frames,incorrect_valid_packets
15,100,100,32800,32800,0,0,0.00000000,0.000000,0,0,0,0,0
5,100,100,32800,32800,0,0,0.00000000,0.000000,0,0,0,0,0
0,100,46,32800,27128,123,5672,0.00453406,0.540000,5,23,24,2,0
