case,packets,valid,acquisition_failures,compared_bits,bit_errors,ber,per
ideal,10,10,0,3280,0,0.00000000,0.0000
alignment,10,10,0,3280,0,0.00000000,0.0000
low_gain,10,10,0,3280,0,0.00000000,0.0000
noise_15db,10,10,0,3280,0,0.00000000,0.0000
noise_0db,10,10,0,3280,0,0.00000000,0.0000
clock_2000ppm,10,10,0,22400,0,0.00000000,0.0000
clock_minus_2000ppm,10,10,0,22400,0,0.00000000,0.0000
combined,10,10,0,3280,0,0.00000000,0.0000
