snr_db,total_packets,valid_packets,total_bits,compared_bits,bit_errors,missing_bits,ber,per,acquisition_failures,crc_failures,protocol_failures,truncated_frames,incorrect_valid_packets
15,200,200,65600,65600,0,0,0.00000000,0.000000,0,0,0,0,0
-5,200,200,65600,65600,0,0,0.00000000,0.000000,0,0,0,0,0
-10,200,200,65600,65600,0,0,0.00000000,0.000000,0,0,0,0,0
-15,200,0,65600,808,10,64792,0.01237624,1.000000,196,1,3,0,0
