bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction
217,166419.481161,1,1,2.484056292e-6,6.935556430e-4,0.99321889,0.99321889,0.000000
218,166899.691741,1,1,5.642764050e-5,1.770566583e-3,0.94123439,0.94123439,0.000000
219,167379.902321,0,0,1.599624075e-3,5.575545751e-4,-0.46311409,0.46311409,0.000000
220,167860.112901,1,1,6.191656514e-6,5.472563469e-4,0.97873481,0.97873481,0.000000
221,168340.323481,1,1,6.011710133e-5,1.907843551e-3,0.94187770,0.94187770,0.000000
222,168820.534061,1,1,9.596631279e-6,1.916958119e-3,0.99053454,0.99053454,0.000000
223,169300.744640,1,1,1.850536988e-6,1.610235967e-3,0.99781913,0.99781913,0.000000
224,169780.955220,0,0,1.976554327e-3,8.702311513e-4,-0.36657650,0.36657650,0.000000
225,170261.165800,1,1,4.886546993e-5,5.827669394e-4,0.85245626,0.85245626,0.000000
226,170741.376380,1,1,9.389848512e-6,1.400035317e-3,0.98733931,0.98733931,0.000000
227,171221.586960,0,0,1.994856427e-3,5.717501451e-4,-0.53640831,0.53640831,0.000000
228,171701.797540,1,1,4.982235567e-6,8.271669694e-4,0.98862244,0.98862244,0.000000
229,172182.008120,1,1,3.500628771e-5,2.084260138e-3,0.96859376,0.96859376,0.000000
230,172662.218699,1,1,1.434672828e-5,1.550326879e-3,0.98257293,0.98257293,0.000000
231,173142.429279,0,0,2.088289036e-3,8.053162823e-4,-0.42249005,0.42249005,0.000000
232,173622.639859,0,0,2.239969707e-3,1.386519436e-4,-0.87764237,0.87764237,0.000000
233,174110.593844,1,1,2.876102330e-5,5.503008108e-4,0.90540729,0.90540729,7.730521
234,174590.830192,1,1,1.539008839e-6,1.707051557e-3,0.99828873,0.99828873,0.000000
235,175071.066540,0,0,2.111687085e-3,5.328496487e-4,-0.58021596,0.58021596,0.000000
236,175551.302888,1,1,2.407332461e-5,9.388413626e-4,0.95244584,0.95244584,0.000000
237,176031.539237,0,0,2.210177931e-3,1.157048174e-3,-0.28937782,0.28937782,0.000000
238,176511.775585,0,0,1.534524061e-3,1.142875638e-4,-0.85458588,0.85458588,0.000000
239,176994.479289,1,1,4.168452961e-5,5.598785065e-4,0.86790069,0.86790069,2.463251
240,177474.723848,0,0,2.792988826e-3,8.507310386e-4,-0.51438361,0.51438361,0.000000
241,177954.968407,1,1,2.583071154e-6,1.331117785e-3,0.99632027,0.99632027,0.000000
242,178435.212966,1,1,1.188205732e-6,1.793714882e-3,0.99874235,0.99874235,0.000000
243,178915.457525,0,0,1.660337704e-3,5.744781557e-4,-0.46599625,0.46599625,0.000000
244,179395.702085,0,0,1.984066041e-3,2.091615298e-5,-0.97804686,0.97804686,0.000000
245,179875.946644,0,0,2.490379121e-3,1.182694273e-4,-0.90476788,0.90476788,0.000000
246,180359.372333,1,1,3.054556608e-5,8.085286050e-4,0.93071540,0.93071540,3.175837
247,180839.627478,1,1,4.401051742e-5,2.127761729e-3,0.96146288,0.96146288,0.000000
248,181319.882623,0,0,2.109835294e-3,6.630301208e-4,-0.50280935,0.50280935,0.000000
249,181800.137769,1,1,2.009396920e-5,7.685727857e-4,0.95153560,0.95153560,0.000000
250,182280.392914,0,0,2.158154604e-3,7.606182230e-4,-0.45874864,0.45874864,0.000000
251,182760.648059,0,0,1.502293907e-3,1.132922919e-4,-0.85289400,0.85289400,0.000000
252,183242.561246,1,1,3.231050193e-5,7.482036498e-4,0.92119375,0.92119375,1.655283
253,183722.821909,1,1,1.099296304e-4,2.057170477e-3,0.90338665,0.90338665,0.000000
254,184203.082572,0,0,1.798289863e-3,4.761006049e-4,-0.56405993,0.56405993,0.000000
255,184683.343235,0,0,2.001655505e-3,7.953319337e-5,-0.91969800,0.91969800,0.000000
