snr_db,total_packets,valid_packets,total_bits,compared_bits,bit_errors,missing_bits,ber,per,acquisition_failures,crc_failures,protocol_failures,truncated_frames,incorrect_valid_packets
15,200,200,65600,65600,0,0,0.00000000,0.000000,0,0,0,0,0
5,200,200,65600,65600,0,0,0.00000000,0.000000,0,0,0,0,0
0,200,200,65600,65600,0,0,0.00000000,0.000000,0,0,0,0,0
-5,200,200,65600,65600,0,0,0.00000000,0.000000,0,0,0,0,0
-10,200,143,65600,62912,71,2688,0.00112856,0.285000,0,40,16,1,0
-15,200,0,65600,640,42,64960,0.06562500,1.000000,196,0,4,0,0
-20,200,0,65600,0,0,65600,NA,1.000000,200,0,0,0,0
