candidate,start_sample,start_seconds,preamble_matches,sync_matches,quality,tone_concentration,carrier_1200,carrier_2200,decision_ratio,profile_0,profile_1,profile_2,profile_3,clock_estimated,initial_period,final_period,header_crc_valid,raw_kind,raw_transfer_id,raw_sequence,raw_payload_bytes,decoded_bits,reference_frame,reference_bits,compared_bits,bit_errors,missing_bits,ber,low_confidence,crc_result,mode,equalizer_memory,equalizer_validation,equalizer_period,rejected_calibrated_sync
0,79680.000000,1.660000000,64,16,0.757080951,0.770240750,2.123427973e-3,6.676058789e-3,3.144000585,3.144000585,3.144000585,3.144000585,3.144000585,true,479.988134501,479.988134501,true,01,2BCB0E3E,0,59,664,0,664,664,0,0,0.000000000,22,"CRC PASS expected=F33C9CE9 calculated=F33C9CE9",receive,7,0.039788588,479.988134501,
1,408000.000000,8.500000000,64,16,0.631803410,0.795498855,1.406688775e-3,7.591605754e-3,5.396791308,5.396791308,5.396791308,5.396791308,5.396791308,true,480.015996196,480.000000000,true,02,2BCB0E3E,0,17,328,1,328,328,0,0,0.000000000,3,"CRC PASS expected=81166FAF calculated=81166FAF",receive,5,0.094584767,480.000000000,12
